Empresa,URL,Teléfono,Sector,Empleados,Ubicación,Año de fundación,Especialidades
Lowe's Companies  Inc.,https://talent.lowes.com,NULL,Venta minorista,+10.001 empleados,"Mooresville, NC",1921,"Home Improvement, retail, home and garden y DIY"
The Janssen Pharmaceutical Companies of Johnson & Johnson,http://www.janssen.com,NULL,Fabricación de productos farmacéuticos,+10.001 empleados,"Raritan, New Jersey",NULL,"Healthcare, Pharmaceutical, Caring, Science y Innovation"
The Estée Lauder Companies Inc.,http://www.elcompanies.com,NULL,Fabricación de productos de cuidado personal,+10.001 empleados,"New York, NY",1946,"Skin Care, Makeup, Fragrance y Hair Care"
The TJX Companies  Inc.,https://jobs.tjx.com/,NULL,Venta minorista,+10.001 empleados,"Framingham, MA",NULL,Off-Price Retail
Albertsons Companies,http://www.albertsonscompanies.com,NULL,Venta minorista,+10.001 empleados,"Boise, Idaho",1939,NULL
CSI Companies,https://csicompanies.com/,904-338-9515,Dotación y selección de personal,51-200 empleados,"Jacksonville, Florida",NULL,"Administrative and Clerical Support, Healthcare IT, IT Staffing, Clinical and Non-clinical Healthcare Staffing, Executive Contingency and Retained Search, Financial Services and Accounting y Technology"
TRC Companies  Inc.,https://www2.trccompanies.com/TRC-LinkedIn,NULL,Servicios medioambientales,5001-10.000 empleados,"Windsor, CT",1969,"Air Measurements, Air Quality, Natural Resources Mgmt, Environmental Permitting & Licensing, Environmental, Health & Safety, Sustainability, Energy Services, Brownfields, Power Delivery Engineering, Civil Engineering, Construction Engineering & Inspection, Pipeline Integrity, Land and Field Services, Environmental Remediation, Digital Grid y Renewables and energy"
Otsuka Pharmaceutical Companies (U.S.),http://www.otsuka-us.com,NULL,Fabricación de productos farmacéuticos,1001-5000 empleados,"Princeton, NJ",NULL,Neuroscience
The Shoprite Group of Companies,https://www.shopriteholdings.co.za,NULL,Venta minorista,+10.001 empleados,"Cape Town, Western Cape",NULL,"Fast moving consumer goods retailer, FMCG, Technology, Retail, Information Systems, Operations, Logistics, Supply chain and distribution, Pharmacies, LiquorShops y food retail"
OTE Group of Companies (HTO),http://www.cosmote.gr,NULL,Telecomunicaciones,+10.001 empleados,NULL,1949,"Telecommunications, Innovation, Customer Experience, New Generation Networks, Pay - TV, Big Data, Cloud Services, IT Security, Narrowband - IoT, Internet of Things, Smart Cities, 4G / 4G+, 5G, Digital Transformation, Sustainable Development, E-Payments, ESG, ICT Integration, Digital Services y FTTH"
